db,spec,trade,h,Est,SE,pv,cum,n
Tsinghua,TS-Import,Trade_Total,0,-0.00504452857600045,0.00534992579214317,0.345724066498872,-0.0332950314465873,3066
Tsinghua,TS-Import,Trade_Total,1,-0.00618257902307847,0.00566696762541728,0.275279300627803,-0.0332950314465873,3055
Tsinghua,TS-Import,Trade_Total,2,-0.00532851832884869,0.0055822101193699,0.339803530889106,-0.0332950314465873,3044
Tsinghua,TS-Import,Trade_Total,3,-0.0037429679061047,0.00583528532969688,0.521238801328426,-0.0332950314465873,3033
Tsinghua,TS-Import,Trade_Total,4,-0.00418555451491241,0.00500270865043264,0.402785024654623,-0.0332950314465873,3022
Tsinghua,TS-Import,Trade_Total,5,-0.00402194473828982,0.00440656473234542,0.361391616071372,-0.0332950314465873,3011
Tsinghua,TS-Import,Trade_Total,6,-0.00478893835935278,0.0042586648051247,0.260794022699293,-0.0332950314465873,3000
Tsinghua,TS-Import,Trade_Exports,0,-0.00918900058777744,0.00466365814310665,0.0487992106923062,-0.0785029682709243,3066
Tsinghua,TS-Import,Trade_Exports,1,-0.0122151828210844,0.00551506010113366,0.0267684702262572,-0.0785029682709243,3055
Tsinghua,TS-Import,Trade_Exports,2,-0.0129102303696501,0.00517328054432269,0.0125758596524781,-0.0785029682709243,3044
Tsinghua,TS-Import,Trade_Exports,3,-0.0101529796961376,0.00533563065783297,0.0570582886163179,-0.0785029682709243,3033
Tsinghua,TS-Import,Trade_Exports,4,-0.0114184011897259,0.00508267837243904,0.0246699323383973,-0.0785029682709243,3022
Tsinghua,TS-Import,Trade_Exports,5,-0.0115695646710311,0.00453606660217797,0.010754629342427,-0.0785029682709243,3011
Tsinghua,TS-Import,Trade_Exports,6,-0.0110476089355176,0.0039641957044625,0.00532235173436133,-0.0785029682709243,3000
Tsinghua,TS-Import,Trade_Imports,0,-0.00215618571548088,0.00805545908364478,0.788955161313208,0.0208528188389042,3066
Tsinghua,TS-Import,Trade_Imports,1,0.000684439907512789,0.0071710297907355,0.923961267026588,0.0208528188389042,3055
Tsinghua,TS-Import,Trade_Imports,2,0.00252121461658419,0.00731735622103935,0.730430693698273,0.0208528188389042,3044
Tsinghua,TS-Import,Trade_Imports,3,0.00461092652625127,0.00757733080508474,0.542845341726132,0.0208528188389042,3033
Tsinghua,TS-Import,Trade_Imports,4,0.0057014261376796,0.00647502229529409,0.378574371740464,0.0208528188389042,3022
Tsinghua,TS-Import,Trade_Imports,5,0.00574480312824796,0.0053014067186416,0.278525556640646,0.0208528188389042,3011
Tsinghua,TS-Import,Trade_Imports,6,0.00374619423810929,0.00554569610587694,0.499349388134813,0.0208528188389042,3000
